device_id,manufacturer,model,ml_risk_level,priority_score,vulnerability_count,max_cvss_score,remediation_time_hours,skill_level_required,downtime_minutes,has_ai_recommendations,nist_controls,cis_controls,manufacturer_support
CCTV-00001,Uniview,IPC322LR3-VSPF40,Critical,89.4,2,9.8,0.6599999999999999,Advanced,20,False,"PR.AC-7, PR.AC-1, PR.DS-6, DE.CM-4","CSC 4.1, CSC 18.9, CSC 16.7, CSC 5.2",https://www.uniview.com/Support/
CCTV-00002,Dahua,NVR4104HS,Critical,79.4,2,9.8,0.41000000000000003,Intermediate,5,False,"PR.AC-7, PR.AC-1, PR.DS-1, PR.DS-2","CSC 4.1, CSC 3.10, CSC 14.8, CSC 5.2",https://www.dahuasecurity.com/support/cybersecurity
CCTV-00003,Hikvision,DS-2CD1023G,Critical,89.4,2,9.8,0.6599999999999999,Advanced,20,False,"PR.AC-7, PR.AC-1, PR.DS-6, DE.CM-4","CSC 4.1, CSC 18.9, CSC 16.7, CSC 5.2",https://www.hikvision.com/en/support/cybersecurity/
CCTV-00004,CP Plus,CP-E24A,Critical,72.3,1,9.1,0.75,Advanced,30,False,"PR.MA-1, PR.IP-1","CSC 18.3, CSC 7.1",https://www.cpplus.com.sg/support/
CCTV-00005,Dahua,IPC-HDBW2831R,Critical,79.4,2,9.8,0.41000000000000003,Intermediate,5,False,"PR.AC-7, PR.AC-1, PR.DS-1, PR.DS-2","CSC 4.1, CSC 3.10, CSC 14.8, CSC 5.2",https://www.dahuasecurity.com/support/cybersecurity
CCTV-00006,Uniview,NVR304-32E-B,Critical,76.4,1,8.8,0.58,Advanced,20,False,"DE.CM-4, PR.DS-6","CSC 16.7, CSC 18.9",https://www.uniview.com/Support/
CCTV-00007,Axis,F34,Critical,72.3,1,9.1,0.75,Advanced,30,False,"PR.MA-1, PR.IP-1","CSC 18.3, CSC 7.1",https://www.axis.com/support/cybersecurity
CCTV-00008,Hikvision,DS-2CD2043G,Critical,79.4,1,9.8,0.08,Basic,0,False,"PR.AC-7, PR.AC-1","CSC 4.1, CSC 5.2",https://www.hikvision.com/en/support/cybersecurity/
CCTV-00009,Uniview,IPC532E-DL-IN,Critical,79.4,1,9.8,0.08,Basic,0,False,"PR.AC-7, PR.AC-1","CSC 4.1, CSC 5.2",https://www.uniview.com/Support/
CCTV-00010,Axis,P3265-LVE,Critical,84.4,3,9.8,0.8300000000000001,Intermediate,20,False,"PR.PT-1, PR.AC-1, PR.DS-1, PR.DS-2, PR.AC-7","CSC 4.1, CSC 14.6, CSC 18.5, CSC 3.10, CSC 14.8",https://www.axis.com/support/cybersecurity
CCTV-00011,Vivotek,FD9389-EHTV,Critical,89.4,3,9.8,0.99,Advanced,25,False,"PR.AC-1, PR.DS-1, PR.DS-2, PR.AC-7, DE.CM-4","CSC 4.1, CSC 16.7, CSC 3.10, CSC 18.9, CSC 14.8",https://www.vivotek.com/support/
CCTV-00012,Uniview,IPC6252SR-X5UG,Critical,89.4,2,9.8,0.6599999999999999,Advanced,20,False,"PR.AC-7, PR.AC-1, PR.DS-6, DE.CM-4","CSC 4.1, CSC 18.9, CSC 16.7, CSC 5.2",https://www.uniview.com/Support/
CCTV-00013,Uniview,IPC322LR3-VSPF40,Critical,79.4,1,9.8,0.08,Basic,0,False,"PR.AC-7, PR.AC-1","CSC 4.1, CSC 5.2",https://www.uniview.com/Support/
CCTV-00014,Hanwha,PNM-9084RQZ,Critical,59.5,1,6.5,0.33,Intermediate,5,False,"PR.DS-1, PR.DS-2","CSC 3.10, CSC 14.8",https://www.hanwhavision.com/support/
CCTV-00015,Dahua,IPC-HFW2431T,Critical,76.4,1,8.8,0.58,Advanced,20,False,"DE.CM-4, PR.DS-6","CSC 16.7, CSC 18.9",https://www.dahuasecurity.com/support/cybersecurity
CCTV-00016,Axis,Q1615-E,Critical,79.4,2,9.8,0.41000000000000003,Intermediate,5,False,"PR.AC-7, PR.AC-1, PR.DS-1, PR.DS-2","CSC 4.1, CSC 3.10, CSC 14.8, CSC 5.2",https://www.axis.com/support/cybersecurity
CCTV-00017,Vivotek,FD9389-EHTV,Critical,89.4,2,9.8,0.6599999999999999,Advanced,20,False,"PR.AC-7, PR.AC-1, PR.DS-6, DE.CM-4","CSC 4.1, CSC 18.9, CSC 16.7, CSC 5.2",https://www.vivotek.com/support/
CCTV-00018,CP Plus,CP-DGC-D13L2,Critical,40.0,0,0.0,0.0,Basic,0,False,,,https://www.cpplus.com.sg/support/
CCTV-00019,Uniview,IPC532E-DL-IN,Critical,89.4,2,9.8,0.6599999999999999,Advanced,20,False,"PR.AC-7, PR.AC-1, PR.DS-6, DE.CM-4","CSC 4.1, CSC 18.9, CSC 16.7, CSC 5.2",https://www.uniview.com/Support/
CCTV-00020,Hanwha,QNV-7080R,Critical,40.0,0,0.0,0.0,Basic,0,False,,,https://www.hanwhavision.com/support/
CCTV-00021,Hikvision,DS-2CD1623G,Critical,84.4,3,9.8,1.1600000000000001,Advanced,35,False,"PR.AC-1, PR.DS-1, PR.DS-2, PR.AC-7, PR.MA-1","CSC 4.1, CSC 7.1, CSC 3.10, CSC 18.3, CSC 14.8",https://www.hikvision.com/en/support/cybersecurity/
CCTV-00022,CP Plus,CP-UVR-0401E1,Critical,59.5,1,6.5,0.33,Intermediate,5,False,"PR.DS-1, PR.DS-2","CSC 3.10, CSC 14.8",https://www.cpplus.com.sg/support/
CCTV-00023,Vivotek,IB9389-EHT,Critical,59.5,1,6.5,0.33,Intermediate,5,False,"PR.DS-1, PR.DS-2","CSC 3.10, CSC 14.8",https://www.vivotek.com/support/
CCTV-00024,Uniview,IPC2124SR3-PF40,Critical,68.4,1,7.8,0.42,Intermediate,15,False,"PR.PT-1, PR.AC-3","CSC 18.5, CSC 14.6",https://www.uniview.com/Support/
CCTV-00025,CP Plus,CP-PLUS-16CH-DVR,Critical,40.0,0,0.0,0.0,Basic,0,False,,,https://www.cpplus.com.sg/support/
CCTV-00026,Axis,P3265-LVE,Critical,59.5,1,6.5,0.33,Intermediate,5,False,"PR.DS-1, PR.DS-2","CSC 3.10, CSC 14.8",https://www.axis.com/support/cybersecurity
CCTV-00027,Axis,Q1615-E,Critical,40.0,0,0.0,0.0,Basic,0,False,,,https://www.axis.com/support/cybersecurity
CCTV-00028,Uniview,NVR304-32E-B,Critical,89.4,3,9.8,0.99,Advanced,25,False,"PR.AC-1, PR.DS-1, PR.DS-2, PR.AC-7, DE.CM-4","CSC 4.1, CSC 16.7, CSC 3.10, CSC 18.9, CSC 14.8",https://www.uniview.com/Support/
CCTV-00029,Dahua,NVR5208-8P,Critical,84.4,3,9.8,1.1600000000000001,Advanced,35,False,"PR.AC-1, PR.DS-1, PR.DS-2, PR.AC-7, PR.MA-1","CSC 4.1, CSC 7.1, CSC 3.10, CSC 18.3, CSC 14.8",https://www.dahuasecurity.com/support/cybersecurity
CCTV-00030,Hanwha,QND-7082R,Critical,72.3,1,9.1,0.75,Advanced,30,False,"PR.MA-1, PR.IP-1","CSC 18.3, CSC 7.1",https://www.hanwhavision.com/support/
CCTV-00031,Dahua,IPC-HDW1431S,Critical,79.4,2,9.8,0.41000000000000003,Intermediate,5,False,"PR.AC-7, PR.AC-1, PR.DS-1, PR.DS-2","CSC 4.1, CSC 3.10, CSC 14.8, CSC 5.2",https://www.dahuasecurity.com/support/cybersecurity
CCTV-00032,Dahua,NVR5208-8P,Critical,79.4,2,9.8,0.41000000000000003,Intermediate,5,False,"PR.AC-7, PR.AC-1, PR.DS-1, PR.DS-2","CSC 4.1, CSC 3.10, CSC 14.8, CSC 5.2",https://www.dahuasecurity.com/support/cybersecurity
CCTV-00033,Hikvision,DS-2CD2085FWD,Critical,79.4,1,9.8,0.08,Basic,0,False,"PR.AC-7, PR.AC-1","CSC 4.1, CSC 5.2",https://www.hikvision.com/en/support/cybersecurity/
CCTV-00035,Uniview,NVR304-32E-B,Critical,79.4,1,9.8,0.08,Basic,0,False,"PR.AC-7, PR.AC-1","CSC 4.1, CSC 5.2",https://www.uniview.com/Support/
CCTV-00036,Dahua,SD22204UE-GN,Critical,79.4,2,9.8,0.41000000000000003,Intermediate,5,False,"PR.AC-7, PR.AC-1, PR.DS-1, PR.DS-2","CSC 4.1, CSC 3.10, CSC 14.8, CSC 5.2",https://www.dahuasecurity.com/support/cybersecurity
CCTV-00037,CP Plus,CP-EAC-T24PL2,Critical,79.4,1,9.8,0.08,Basic,0,False,"PR.AC-7, PR.AC-1","CSC 4.1, CSC 5.2",https://www.cpplus.com.sg/support/
CCTV-00038,Uniview,IPC672LR-AX4DUPK,Critical,84.4,2,9.8,0.83,Advanced,30,False,"PR.AC-7, PR.AC-1, PR.MA-1, PR.IP-1","CSC 4.1, CSC 18.3, CSC 7.1, CSC 5.2",https://www.uniview.com/Support/
CCTV-00039,CP Plus,CP-UNC-TA21L3,Critical,79.4,2,9.8,0.41000000000000003,Intermediate,5,False,"PR.AC-7, PR.AC-1, PR.DS-1, PR.DS-2","CSC 4.1, CSC 3.10, CSC 14.8, CSC 5.2",https://www.cpplus.com.sg/support/
CCTV-00040,CP Plus,CP-DGC-D13L2,Critical,40.0,0,0.0,0.0,Basic,0,False,,,https://www.cpplus.com.sg/support/
