device_id,device_type,manufacturer,model,firmware_version,firmware_year,firmware_age_years,ip_address,default_credentials,authentication,encryption,rtsp_enabled,rtsp_auth_required,open_ports,open_ports_count,upnp_enabled,internet_facing,behind_firewall,cloud_service,ssl_certificate_valid,password_complexity,failed_login_attempts,vulnerability_count,vulnerabilities,max_cvss_score,avg_cvss_score,exploit_difficulty,total_exploit_steps,risk_score,risk_level,risk_numeric
CCTV-00001,IP Camera,Uniview,IPC322LR3-VSPF40,V15.4.31,2015,11,50.216.174.72,1,no-auth,none,0,1,"80,443",2,1,1,1,1,0,low,139,4,Default Credentials | Outdated Firmware | No Encryption | SQL Injection,9.8,8.98,6.0,24,225.0,Critical,3
CCTV-00002,NVR,Dahua,NVR4104HS,V24.5.13,2024,2,21.116.148.253,1,strong,weak,1,1,"80,8000",2,0,0,1,1,1,medium,92,2,Default Credentials | Weak Encryption,9.8,8.15,7.0,14,110.0,Critical,3
CCTV-00003,IP Camera,Hikvision,DS-2CD1023G,V22.6.35,2022,4,24.117.16.207,1,no-auth,strong,1,0,"80,443,554,8000",4,1,0,1,1,0,low,142,4,Default Credentials | Outdated Firmware | Exposed RTSP Stream | SQL Injection,9.8,9.25,5.25,21,179.0,Critical,3
CCTV-00004,IP Camera,CP Plus,CP-E24A,V16.3.72,2016,10,22.56.78.161,0,basic,none,1,1,"80,443,554,8080,9000",5,0,0,1,1,0,medium,35,3,Outdated Firmware | No Encryption | Buffer Overflow,9.8,8.8,8.33,25,144.0,Critical,3
CCTV-00005,IP Camera,Dahua,IPC-HDBW2831R,V19.6.48,2019,7,55.54.152.216,1,basic,weak,1,1,"80,554",2,0,1,1,1,1,high,67,3,Default Credentials | Outdated Firmware | Weak Encryption,9.8,8.7,7.0,21,150.0,Critical,3
CCTV-00006,NVR,Uniview,NVR304-32E-B,V15.2.69,2015,11,146.64.65.169,0,no-auth,none,1,0,"80,443,554",3,0,1,0,0,1,none,20,4,Outdated Firmware | Exposed RTSP Stream | No Encryption | SQL Injection,9.8,8.68,5.5,22,202.0,Critical,3
CCTV-00007,IP Camera,Axis,F34,V15.8.77,2015,11,160.117.112.2,0,basic,none,0,1,"443,554",2,1,0,1,0,1,none,115,3,Outdated Firmware | No Encryption | Buffer Overflow,9.8,8.8,8.33,25,150.0,Critical,3
CCTV-00008,IP Camera,Hikvision,DS-2CD2043G,V16.0.42,2016,10,23.50.31.104,1,basic,none,1,1,"80,443,8080",3,0,1,1,0,1,low,108,3,Default Credentials | Outdated Firmware | No Encryption,9.8,9.03,6.0,18,174.0,Critical,3
CCTV-00009,IP Camera,Uniview,IPC532E-DL-IN,V21.1.31,2021,5,33.121.85.105,1,basic,strong,1,1,"80,443,554",3,0,0,1,0,1,medium,138,2,Default Credentials | Outdated Firmware,9.8,9.8,6.0,12,119.0,Critical,3
CCTV-00010,IP Camera,Axis,P3265-LVE,V16.6.7,2016,10,132.80.29.246,1,strong,weak,0,1,"80,443,554",3,1,0,1,1,0,none,138,4,Default Credentials | Outdated Firmware | Weak Encryption | Path Traversal,9.8,8.48,6.5,26,177.0,Critical,3
